"type","business","dba","license","street","city","zipcode","website","longitude","latitude"
"Adult-Use Cannabis Only","SLAP ASH RETAIL II LLC","HIGH PROFILE CANNABIS SHOP","ACRE.0002642","195 Albany Turnpike","Canton","06019","","-72.895890","41.825490"
"Adult-Use Cannabis Only","SHANGRI-LA CT INC","SHANGRI-LA CT INC","ACRE.0003185","53 INTERSTATE LN","WATERBURY","06705-2658","","-72.997590","41.535430"
"Adult-Use Cannabis Only","SHANGRI-LA CT INC","SHANGRI-LA CT INC","ACRE.0003242","359 NEW BRITAIN AVE","PLAINVILLE","06062-2013","","-72.837800","41.673940"
"Adult-Use Cannabis Only","CHILLAX LLC","THE LIV","ACRE.0004289","97 Providence Pike","Putnam","06260","","-71.873780","41.925150"
"Adult-Use Cannabis Only","SHANGRI-LA CT INC","SHANGRI-LA CT INC","ACRE.0004665","430 MAIN AVE","NORWALK","06854","","-73.425940","41.147780"
"Adult-Use Cannabis Only","SARA'S DISPENSARY LLC","CRISP CANNABIS","ACRE.0005925","33 Berlin Road","Cromwell","06416","","-72.682670","41.602200"
"Adult-Use Cannabis Only","JANANII LLC","JANANII LLC","ACRE.0008858","3490 WHITNEY AVE","HAMDEN","06518-1936","","-72.906040","41.421580"
"Adult-Use Cannabis Only","DIVINE 1 LLC","CLONE CANABISS","ACRE.0008896","39 NEW HAVEN RD","SEYMOUR","06483-3460","","-73.061970","41.397290"
"Adult-Use Cannabis Only","DEBBIE'S DISPENSARY LLC","CRISP CANNABIS","ACRE.0009619","500 Main St","East Hartford","06118","","-72.643090","41.757510"
"Adult-Use Cannabis Only","SHANGRI-LA DISPENSARY","SHANGRI-LA CT INC","ACRE.0011824","75 CONNECTICUT AVE","NORWALK","06850-3528","","-73.425300","41.106470"
"Adult-Use Cannabis Only","SLAP ASH RETAIL I LLC","HIGH PROFILE CANNABIS SHOP","ACRE.0013138","2607 Whitney Ave","Hamden","06518","","-72.898150","41.391340"
"Adult-Use Cannabis Only","Hydra East, LLC","Hydra East, LLC","ACRE.0014886","9 Hazard Ave","Enfield","06082","","-72.583340","41.990340"
"Adult-Use Cannabis Only","UMN EQUITY JOINT VENTURE LLC","UMN EQUITY JOINT VENTURE LLC","ACRE.0014925","157 Boston Post Rd","North Windham","06256","","-72.187800","41.729770"
"Adult-Use Cannabis Only","BUDR HARTFORD HOLDING LLC","BUDR HARTFORD HOLDING LLC","ACRE.0015644","108 Federal Road","Danbury","06810","","-73.420020","41.420190"
"Adult-Use Cannabis Only","NUTMEG HARTFORD JV LLC","HIGHER COLLECTIVE","ACRE.0015652","1396 Park Street","Hartford","06106","","-72.701440","41.758190"
"Adult-Use Cannabis Only","Nutmeg Hamden JV LLC","Nutmeg Hamden JV LLC","ACRE.0015653","3825 WHITNEY AVE","HAMDEN","06518-1519","","-72.907480","41.432790"
"Adult-Use Cannabis Only","NUTMEG SOUTHWEST JV LLC","HIGHER COLLECTIVE","ACRE.0015654","3369 FAIRFIELD AVE","BRIDGEPORT","06605-3224","","-73.235160","41.154730"
"Adult-Use Cannabis Only","NUTMEG KILLINGLY JV LLC","HIGHER COLLECTIVE","ACRE.0015655","1078 N MAIN ST","KILLINGLY","06241-2127","","-71.875620","41.839690"
"Adult-Use Cannabis Only","NUTMEG NEW LONDON JV LLC","HIGHER COLLECTIVE","ACRE.0015657","595 Bank Street","New London","06320","","-72.102830","41.349840"
"Adult-Use Cannabis Only","SFC CT LLC","VENU FLOWER COLLECTIVE","ACRE.0015659","895 Washington Street","Middletown","06457","","-72.682250","41.553900"
"Adult-Use Cannabis Only","HWY 95, LLC.","THE HARVEST CORNER CANNABIS COMPANY","ACRE.0015660","493 Westchester Rd.","Colchester","06415","","-72.411940","41.546810"
"Adult-Use Cannabis Only","NUTMEG NORTHWEST JV LLC","HIGHER COLLECTIVE","ACRE.0015662","53 McDermott Avenue","Torrington","06790","","-73.124780","41.813820"
"Adult-Use Cannabis Only","Insa CT Retail II, LLC","Insa CT Retail II, LLC","ACRE.0015678","222 Sargent Dr","New Haven","06511","","-72.920550","41.293190"
"Adult-Use Cannabis Only","Insa CT Retail I, LLC","Insa CT Retail I, LLC","ACRE.0015682","167 Brainard Rd","Hartford","06114","","-72.659550","41.735440"
"Adult-Use Cannabis Only","CONNECTIBUDS EJV 1 LLC","HI PEOPLE CANNABIS MARKET","ACRE.0015685","306 Market Street","Hartford","06120","","-72.670700","41.771890"
"Adult-Use Cannabis Only","CONNECTIBUDS EJV 2 LLC","HI PEOPLE CANNABIS MARKET","ACRE.0015686","90 Pershing Drive","Derby","06418","","-73.084600","41.327800"
