"week_ending","adult_use","medical","total","adult_use_products_sold","medical_products_sold","total_products_sold","adult_use_avg_price","medical_avg_price"
"2023-01-14T00:00:00.000",1485019.32,1776700.69,3261720.01,33610.00,49312.00,82922.00,44.25,36.23
"2023-01-21T00:00:00.000",1487815.81,2702525.61,4190341.42,33005.00,77461.00,110466.00,45.08,34.89
"2023-01-28T00:00:00.000",1553216.30,2726237.56,4279453.86,34854.00,76450.00,111304.00,44.56,35.65
"2023-01-31T00:00:00.000",578840.62,863287.86,1442128.48,12990.00,24023.00,37013.00,44.56,35.93
"2023-02-04T00:00:00.000",1047436.20,1971731.40,3019167.60,24134.00,56666.00,80800.00,43.49,34.84
"2023-02-11T00:00:00.000",1671205.80,2815023.87,4486229.67,38764.00,77454.00,116218.00,43.33,36.30
"2023-02-18T00:00:00.000",1742486.74,3008219.03,4750705.77,42178.00,83065.00,125243.00,41.56,36.33
"2023-02-25T00:00:00.000",1862822.43,2793882.27,4656704.70,45919.00,75990.00,121909.00,40.76,36.74
"2023-02-28T00:00:00.000",700300.78,853033.11,1553333.89,17570.00,23469.00,41039.00,39.96,36.35
"2023-03-04T00:00:00.000",1355673.59,2145964.90,3501638.49,33548.00,56607.00,90155.00,40.42,37.98
"2023-03-11T00:00:00.000",2100022.43,2664338.40,4764360.83,51174.00,71988.00,123162.00,41.08,36.92
"2023-03-18T00:00:00.000",2124468.68,2674501.67,4798970.35,52042.00,72728.00,124770.00,40.81,36.68
"2023-03-25T00:00:00.000",2151040.59,2798631.38,4949671.97,53130.00,75500.00,128630.00,40.50,37.06
"2023-03-31T00:00:00.000",1831943.14,2292570.07,4124513.21,45080.00,62239.00,107319.00,40.65,36.66
"2023-04-01T00:00:00.000",418812.68,411394.13,830206.81,10364.00,11121.00,21485.00,40.41,36.99
"2023-04-08T00:00:00.000",2403561.83,2666563.86,5070125.69,59704.00,74195.00,133899.00,40.26,35.94
"2023-04-15T00:00:00.000",2087159.31,2517920.96,4605080.27,52875.00,70671.00,123546.00,39.47,35.63
"2023-04-22T00:00:00.000",2496234.15,3085786.74,5582020.89,66199.00,86307.00,152506.00,37.71,35.75
"2023-04-29T00:00:00.000",2507966.33,2561633.80,5069600.13,63190.00,67718.00,130908.00,39.69,37.83
"2023-04-30T00:00:00.000",286293.00,183661.24,469954.24,7167.00,4973.00,12140.00,39.95,36.93
"2023-05-06T00:00:00.000",2282560.02,2414465.01,4697025.03,57754.00,67006.00,124760.00,39.52,36.03
"2023-05-13T00:00:00.000",2564913.32,2458332.18,5023245.50,64687.00,67872.00,132559.00,39.65,36.22
"2023-05-20T00:00:00.000",2617368.35,2465160.61,5082528.96,65731.00,68606.00,134337.00,39.82,35.93
"2023-05-27T00:00:00.000",2800947.71,2841464.80,5642412.51,70934.00,79680.00,150614.00,39.49,35.66
"2023-05-31T00:00:00.000",1280002.90,1049495.20,2329498.10,32948.00,29594.00,62542.00,38.85,35.46
"2023-06-03T00:00:00.000",1390943.35,1376935.93,2767879.28,35095.00,37613.00,72708.00,39.62,36.60
"2023-06-10T00:00:00.000",2828270.87,2468881.28,5297152.15,70454.00,65602.00,136056.00,40.15,37.55
"2023-06-17T00:00:00.000",2875410.83,2585081.31,5460492.14,71879.00,68506.00,140385.00,40.11,37.83
"2023-06-24T00:00:00.000",2903411.26,2524419.26,5427830.52,72603.00,66998.00,139601.00,39.94,37.73
"2023-06-30T00:00:00.000",2544960.59,2408269.64,4953230.23,63479.00,64574.00,128053.00,40.19,37.42
"2023-07-01T00:00:00.000",473217.98,460581.25,933799.23,11876.00,11012.00,22888.00,39.85,41.83
"2023-07-08T00:00:00.000",2890082.75,2312022.99,5202105.74,71956.00,60136.00,132092.00,40.11,38.46
"2023-07-15T00:00:00.000",2981657.61,2464306.71,5445964.32,73530.00,62523.00,136053.00,40.55,39.41
"2023-07-22T00:00:00.000",2981433.64,2437203.52,5418637.16,73419.00,62138.00,135557.00,40.62,39.54
"2023-07-29T00:00:00.000",2966760.63,2389904.19,5356664.82,74494.00,60394.00,134888.00,39.97,39.81
"2023-07-31T00:00:00.000",725428.91,545129.04,1270557.95,18902.00,14037.00,32939.00,38.42,38.88
"2023-08-05T00:00:00.000",2354292.08,1920738.17,4275030.25,60171.00,48816.00,108987.00,39.11,39.37
"2023-08-12T00:00:00.000",3150213.59,2524250.92,5674464.51,79640.00,64454.00,144094.00,39.58,39.29
"2023-08-19T00:00:00.000",3154663.06,2365347.61,5520010.67,80036.00,60189.00,140225.00,39.45,39.40
"2023-08-26T00:00:00.000",3212642.77,2440709.72,5653352.49,81333.00,61919.00,143252.00,39.53,39.42
"2023-08-31T00:00:00.000",2128558.59,1687225.97,3815784.56,53520.00,43017.00,96537.00,39.76,39.30
"2023-09-02T00:00:00.000",1253447.63,1104080.66,2357528.29,32383.00,27354.00,59917.00,38.74,40.24
"2023-09-09T00:00:00.000",3134372.02,2250751.05,5385123.07,81345.00,59987.00,141332.00,38.60,37.37
"2023-09-16T00:00:00.000",3293747.30,2428145.42,5721892.72,86627.00,63169.00,149796.00,38.13,38.34
"2023-09-23T00:00:00.000",3294533.61,2403860.11,5698393.72,86311.00,65120.00,151431.00,38.22,37.09
"2023-09-30T00:00:00.000",3412650.76,2628149.81,6040800.57,89369.00,68486.00,157855.00,38.14,38.02
"2023-10-07T00:00:00.000",3290023.19,2275197.04,5565220.23,87830.00,62114.00,149944.00,37.51,36.82
"2023-10-14T00:00:00.000",3420806.53,2423405.19,5844211.72,92222.00,66829.00,159051.00,37.16,36.35
"2023-10-21T00:00:00.000",3411081.96,2219977.10,5631059.06,92015.00,60874.00,152889.00,37.11,36.40
"2023-10-28T00:00:00.000",3328567.13,2265270.29,5593837.42,88093.00,61753.00,149846.00,37.37,36.71
